location,date,fatalities,injured,total_victims,gender
"San Bernardino, California",2015-12-02,14,21,35,Male & Female
"Colorado Springs, Colorado",2015-11-27,3,9,12,M
"Colorado Springs, Colorado",2015-10-31,3,0,3,M
"Roseburg, Oregon",2015-10-01,9,9,18,Male
"Chattanooga, Tennessee",2015-07-16,5,2,7,Male
"Charleston, South Carolina",2015-06-17,9,1,10,Male
"Menasha, Wisconsin",2015-06-11,3,1,4,M
"Marysville, Washington",2014-10-24,5,1,6,Male
"Santa Barbara, California",2014-05-23,6,13,19,M
"Fort Hood, Texas",2014-04-03,3,12,15,M
"Alturas, California",2014-02-20,4,2,6,Female
"Washington, D.C.",2013-09-16,12,8,20,Male
"Hialeah, Florida",2013-07-26,7,0,7,Male
"Santa Monica, California",2013-06-07,6,3,9,Male
"Federal Way, Washington",2013-04-21,5,0,5,Male
"Herkimer County, New York",2013-03-13,5,2,7,Male
"Newtown, Connecticut",2012-12-14,27,2,29,Male
"Minneapolis, Minnesota",2012-09-27,7,1,8,Male
"Oak Creek, Wisconsin",2012-08-05,7,3,10,Male
"Aurora, Colorado",2012-07-20,12,70,82,Male
"Seattle, Washington",2012-05-20,6,1,7,Male
"Oakland, California",2012-04-02,7,3,10,Male
"Norcross, Georgia",2012-02-21,5,0,5,Male
"Seal Beach, California",2011-10-12,8,1,9,Male
"Carson City, Nevada",2011-09-06,5,7,12,Male
"Tucson, Arizona",2011-01-08,6,13,19,Male
"Manchester, Connecticut",2010-08-03,9,2,11,Male
"Parkland, Washington",2009-11-29,4,1,5,Male
"Fort Hood, Texas",2009-11-05,13,30,43,Male
"Binghamton, New York",2009-04-03,14,4,18,Male
"Carthage, North Carolina",2009-03-29,8,3,11,Male
"Henderson, Kentucky",2008-06-25,6,1,7,Male
"DeKalb, Illinois",2008-02-14,5,21,26,Male
"Kirkwood, Missouri",2008-02-07,6,2,8,Male
"Omaha, Nebraska",2007-12-05,9,4,13,Male
"Crandon, Wisconsin",2007-10-07,6,1,7,Male
"Blacksburg, Virginia",2007-04-16,32,23,55,Male
"Salt Lake City, Utah",2007-02-12,6,4,10,Male
"Lancaster County, Pennsylvania",2006-10-02,6,5,11,Male
"Seattle, Washington",2006-03-25,7,2,9,Male
"Goleta, California",2006-01-30,8,0,8,Female
"Red Lake, Minnesota",2005-03-21,10,5,15,Male
"Brookfield, Wisconsin",2005-03-12,7,4,11,Male
"Columbus, Ohio",2004-12-08,5,7,12,Male
"Meridian, Mississippi",2003-07-08,7,8,15,Male
"Melrose Park, Illinois",2001-02-05,5,4,9,Male
"Wakefield, Massachusetts",2000-12-26,7,0,7,Male
"Tampa, Florida",1999-12-30,5,3,8,Male
"Honolulu, Hawaii",1999-11-02,7,0,7,Male
"Fort Worth, Texas",1999-09-15,8,7,15,Male
"Atlanta, Georgia",1999-07-29,9,13,22,Male
"Littleton, Colorado",1999-04-20,13,24,37,Male
"Springfield, Oregon",1998-05-21,4,25,29,Male
"Jonesboro, Arkansas",1998-03-24,5,10,15,Male
"Newington, Connecticut",1998-03-06,5,1,6,Male
"Orange, California",1997-12-18,5,2,7,Male
"Aiken, South Carolina",1997-09-15,4,3,7,Male
"Fort Lauderdale, Florida",1996-02-09,6,1,7,Male
"Corpus Christi, Texas",1995-04-03,6,0,6,Male
"Fairchild Air Force Base, Washington",1994-06-20,5,23,28,Male
"Aurora, Colorado",1993-12-14,4,1,5,Male
"Garden City, New York",1993-12-07,6,19,25,Male
"Fayetteville, North Carolina",1993-08-06,4,8,12,Male
"San Francisco, California",1993-07-01,9,6,15,Male
"Watkins Glen, New York",1992-10-15,5,0,5,Male
"Olivehurst, California",1992-05-01,4,10,14,Male
"Royal Oak, Michigan",1991-11-14,5,5,10,Male
"Iowa City, Iowa",1991-11-01,6,1,7,Male
"Killeen, Texas",1991-10-16,24,20,44,Male
"Jacksonville, Florida",1990-06-18,10,4,14,Male
"Louisville, Kentucky",1989-09-14,9,12,21,Male
"Stockton, California",1989-01-17,6,29,35,Male
"Sunnyvale, California",1988-02-16,7,4,11,Male
"Palm Bay, Florida",1987-04-23,6,14,20,Male
"Edmond, Oklahoma",1986-08-20,15,6,21,Male
"San Ysidro, California",1984-07-18,22,19,41,Male
"Dallas, Texas",1984-06-29,6,1,7,Male
"Miami, Florida",1982-08-20,8,3,11,Male
